date,concepto,dia_kwh,pct_dia,mes_kwh,pct_mes,anio_kwh,pct_anio,ultimos365_kwh,tipo_dia,tipo_dia_anio_anterior,source,fetched_at,raw_ref
2018-01-06,total_importacion,6009.198,0,104725.03,0,104725.03,0,39579096.459,Sábado,Laboral,smec:ResultadoInforme1,2026-09-22T01:41:15Z,cenace_smec/2018/01/ResultadoInforme1.ndjson.gz#informe1:2018-01-06
2018-01-06,total_perdidas_transporte,7873680.993,-113.424,-17692652.983,-29.251,-17692652.983,-29.251,1406362009.58,Sábado,Laboral,smec:ResultadoInforme1,2026-09-22T01:41:15Z,cenace_smec/2018/01/ResultadoInforme1.ndjson.gz#informe1:2018-01-06
2018-01-07,demanda_distribucion,55931076.115,-4.92,405957555.388,15.979,405957555.388,15.979,21417342687.174,Domingo,Sábado,smec:ResultadoInforme1,2026-09-22T01:41:17Z,cenace_smec/2018/01/ResultadoInforme1.ndjson.gz#informe1:2018-01-07
2018-01-07,exportacion_colombia,1630210.648,-60.345,21572532.755,8.175,21572532.755,8.175,236520791.142,Domingo,Sábado,smec:ResultadoInforme1,2026-09-22T01:41:17Z,cenace_smec/2018/01/ResultadoInforme1.ndjson.gz#informe1:2018-01-07
2018-01-07,exportacion_peru,0,0,0,0,0,0,15835543.635,Domingo,Sábado,smec:ResultadoInforme1,2026-09-22T01:41:17Z,cenace_smec/2018/01/ResultadoInforme1.ndjson.gz#informe1:2018-01-07
2018-01-07,generacion_hidraulica,55114904.296,-7.329,350484777.586,18.66,350484777.586,18.66,20134282335.454,Domingo,Sábado,smec:ResultadoInforme1,2026-09-22T01:41:17Z,cenace_smec/2018/01/ResultadoInforme1.ndjson.gz#informe1:2018-01-07
2018-01-07,generacion_motores_bunker,1347407.546,-46.974,11204280.305,13.67,11204280.305,13.67,1043470130.154,Domingo,Sábado,smec:ResultadoInforme1,2026-09-22T01:41:17Z,cenace_smec/2018/01/ResultadoInforme1.ndjson.gz#informe1:2018-01-07
2018-01-07,generacion_otros_tipos,304120.267,24.825,1728643.573,21.349,1728643.573,21.349,124581721.57,Domingo,Sábado,smec:ResultadoInforme1,2026-09-22T01:41:17Z,cenace_smec/2018/01/ResultadoInforme1.ndjson.gz#informe1:2018-01-07
2018-01-07,generacion_turbinas_diesel,224488.316,2.772,1193517.612,23.166,1193517.612,23.166,101433332.418,Domingo,Sábado,smec:ResultadoInforme1,2026-09-22T01:41:17Z,cenace_smec/2018/01/ResultadoInforme1.ndjson.gz#informe1:2018-01-07
2018-01-07,generacion_turbinas_gas,2786375.379,0.889,20722118.132,15.535,20722118.132,15.535,1204558748.605,Domingo,Sábado,smec:ResultadoInforme1,2026-09-22T01:41:17Z,cenace_smec/2018/01/ResultadoInforme1.ndjson.gz#informe1:2018-01-07
2018-01-07,generacion_turbinas_nafta,0,0,0,0,0,0,0,Domingo,Sábado,smec:ResultadoInforme1,2026-09-22T01:41:17Z,cenace_smec/2018/01/ResultadoInforme1.ndjson.gz#informe1:2018-01-07
2018-01-07,generacion_vapor_bunker,7327933.931,-12.238,45224711.959,19.337,45224711.959,19.337,1599536667.591,Domingo,Sábado,smec:ResultadoInforme1,2026-09-22T01:41:17Z,cenace_smec/2018/01/ResultadoInforme1.ndjson.gz#informe1:2018-01-07
2018-01-07,importacion_colombia,35761.096,495.106,140486.126,34.148,140486.126,34.148,39525017.567,Domingo,Sábado,smec:ResultadoInforme1,2026-09-22T01:41:17Z,cenace_smec/2018/01/ResultadoInforme1.ndjson.gz#informe1:2018-01-07
2018-01-07,importacion_peru,0,0,0,0,0,0,0,Domingo,Sábado,smec:ResultadoInforme1,2026-09-22T01:41:17Z,cenace_smec/2018/01/ResultadoInforme1.ndjson.gz#informe1:2018-01-07
2018-01-07,total_exportacion,1630210.648,-60.345,21572532.755,8.175,21572532.755,8.175,252356334.777,Domingo,Sábado,smec:ResultadoInforme1,2026-09-22T01:41:17Z,cenace_smec/2018/01/ResultadoInforme1.ndjson.gz#informe1:2018-01-07
2018-01-07,total_generacion,67105229.735,-8.81,430558049.167,18.463,430558049.167,18.463,24207862935.792,Domingo,Sábado,smec:ResultadoInforme1,2026-09-22T01:41:17Z,cenace_smec/2018/01/ResultadoInforme1.ndjson.gz#informe1:2018-01-07
